"","actual_outcome","effect_valence","mechanism","response"
"1","red","unpleasant","disjunctive",2
"2","blue","pleasant","disjunctive",3
"3","red","pleasant","disjunctive",2
"4","red","neutral","conjunctive",6
"5","red","pleasant","conjunctive",7
"6","blue","unpleasant","conjunctive",2
"7","blue","pleasant","conjunctive",1
"8","red","pleasant","conjunctive",2
"9","blue","neutral","conjunctive",4
"10","red","neutral","conjunctive",6
"11","blue","pleasant","disjunctive",2
"12","blue","neutral","conjunctive",3
"13","red","neutral","conjunctive",7
"14","blue","neutral","disjunctive",4
"15","blue","pleasant","disjunctive",3
"16","red","neutral","conjunctive",7
"17","blue","pleasant","conjunctive",6
"18","blue","unpleasant","disjunctive",2
"19","red","neutral","disjunctive",4
"20","red","pleasant","conjunctive",4
"21","red","unpleasant","disjunctive",6
"22","red","unpleasant","conjunctive",3
"23","blue","neutral","disjunctive",4
"24","red","pleasant","disjunctive",3
"25","red","unpleasant","conjunctive",6
"26","red","unpleasant","conjunctive",4
"27","red","neutral","disjunctive",3
"28","blue","neutral","conjunctive",3
"29","blue","neutral","conjunctive",4
"30","red","pleasant","conjunctive",7
"31","red","pleasant","conjunctive",4
"32","blue","pleasant","conjunctive",2
"33","blue","pleasant","conjunctive",2
"34","blue","unpleasant","disjunctive",2
"35","red","unpleasant","conjunctive",5
"36","red","pleasant","disjunctive",2
"37","blue","pleasant","conjunctive",4
"38","blue","unpleasant","conjunctive",2
